,bnd_id,ent_nm,ptf,npv
0,0,kbc,bnd,1047.2144661197158
1,1,kbc,bnd,1025.023958353264
2,2,kbc,bnd,1005.595943546347
3,3,kbc,bnd,1149.3715591480368
4,4,kbc,bnd,1007.069101732208
5,5,kbc,bnd,1047.2144661197158
6,6,kbc,bnd,1025.023958353264
7,7,kbc,bnd,1005.595943546347
8,8,kbc,bnd,1149.3715591480368
9,9,kbc,bnd,1007.069101732208
10,10,kbc,bnd,1047.2144661197158
11,11,kbc,bnd,1025.023958353264
12,12,kbc,bnd,1005.595943546347
13,13,kbc,bnd,1149.3715591480368
14,14,kbc,bnd,1007.069101732208
15,15,kbc,bnd,1047.2144661197158
16,16,kbc,bnd,1025.023958353264
17,17,kbc,bnd,1005.595943546347
18,18,kbc,bnd,1149.3715591480368
19,19,kbc,bnd,1007.069101732208
20,20,kbc,bnd,1047.2144661197158
21,21,kbc,bnd,1025.023958353264
22,22,kbc,bnd,1005.595943546347
23,23,kbc,bnd,1149.3715591480368
24,24,kbc,bnd,1007.069101732208
25,25,kbc,bnd,1047.2144661197158
26,26,kbc,bnd,1025.023958353264
27,27,kbc,bnd,1005.595943546347
28,28,kbc,bnd,1149.3715591480368
29,29,kbc,bnd,1007.069101732208
30,30,kbc,bnd,1047.2144661197158
31,31,kbc,bnd,1025.023958353264
32,32,kbc,bnd,1005.595943546347
33,33,kbc,bnd,1149.3715591480368
34,34,kbc,bnd,1007.069101732208
35,35,kbc,bnd,1047.2144661197158
36,36,kbc,bnd,1025.023958353264
37,37,kbc,bnd,1005.595943546347
38,38,kbc,bnd,1149.3715591480368
39,39,kbc,bnd,1007.069101732208
40,40,kbc,bnd,1047.2144661197158
41,41,kbc,bnd,1025.023958353264
42,42,kbc,bnd,1005.595943546347
43,43,kbc,bnd,1149.3715591480368
44,44,kbc,bnd,1007.069101732208
45,45,kbc,bnd,1047.2144661197158
46,46,kbc,bnd,1025.023958353264
47,47,kbc,bnd,1005.595943546347
48,48,kbc,bnd,1149.3715591480368
49,49,kbc,bnd,1007.069101732208
50,50,kbc,bnd,1047.2144661197158
51,51,kbc,bnd,1025.023958353264
52,52,kbc,bnd,1005.595943546347
53,53,kbc,bnd,1149.3715591480368
54,54,kbc,bnd,1007.069101732208
55,55,kbc,bnd,1047.2144661197158
56,56,kbc,bnd,1025.023958353264
57,57,kbc,bnd,1005.595943546347
58,58,kbc,bnd,1149.3715591480368
59,59,kbc,bnd,1007.069101732208
60,60,kbc,bnd,1047.2144661197158
61,61,kbc,bnd,1025.023958353264
62,62,kbc,bnd,1005.595943546347
63,63,kbc,bnd,1149.3715591480368
64,64,kbc,bnd,1007.069101732208
65,65,kbc,bnd,1047.2144661197158
66,66,kbc,bnd,1025.023958353264
67,67,kbc,bnd,1005.595943546347
68,68,kbc,bnd,1149.3715591480368
69,69,kbc,bnd,1007.069101732208
70,70,kbc,bnd,1047.2144661197158
71,71,kbc,bnd,1025.023958353264
72,72,kbc,bnd,1005.595943546347
73,73,kbc,bnd,1149.3715591480368
74,74,kbc,bnd,1007.069101732208
75,75,kbc,bnd,1047.2144661197158
